Vehicles created successfully.
Speed: 5, Lane: 1, Distance: 5, Plate: MRB1G
Speed: 2, Lane: 2, Distance: 2, Plate: RU16
Speed: 8, Lane: 3, Distance: 8, Plate: TOYS4US
Speed: 7, Lane: 1, Distance: 12, Plate: MRB1G
Speed: 10, Lane: 2, Distance: 12, Plate: RU16
Speed: 18, Lane: 3, Distance: 26, Plate: TOYS4US
Speed: 13, Lane: 1, Distance: 25, Plate: MRB1G
Speed: 15, Lane: 2, Distance: 27, Plate: RU16
Speed: 19, Lane: 3, Distance: 45, Plate: TOYS4US
Speed: 22, Lane: 1, Distance: 47, Plate: MRB1G
Speed: 22, Lane: 2, Distance: 49, Plate: RU16
Speed: 23, Lane: 3, Distance: 68, Plate: TOYS4US
Speed: 23, Lane: 1, Distance: 70, Plate: MRB1G
Speed: 30, Lane: 2, Distance: 79, Plate: RU16
Speed: 30, Lane: 3, Distance: 98, Plate: TOYS4US
Speed: 26, Lane: 1, Distance: 96, Plate: MRB1G
Speed: 35, Lane: 2, Distance: 114, Plate: RU16
Speed: 37, Lane: 3, Distance: 135, Plate: TOYS4US
Speed: 30, Lane: 1, Distance: 126, Plate: MRB1G
Speed: 42, Lane: 2, Distance: 156, Plate: RU16
Speed: 43, Lane: 3, Distance: 178, Plate: TOYS4US
Speed: 40, Lane: 1, Distance: 166, Plate: MRB1G
Speed: 48, Lane: 2, Distance: 204, Plate: RU16
Speed: 50, Lane: 3, Distance: 228, Plate: TOYS4US
Speed: 47, Lane: 1, Distance: 213, Plate: MRB1G
Speed: 56, Lane: 2, Distance: 260, Plate: RU16
Speed: 51, Lane: 3, Distance: 279, Plate: TOYS4US
Speed: 56, Lane: 1, Distance: 269, Plate: MRB1G
Speed: 63, Lane: 2, Distance: 323, Plate: RU16
Speed: 60, Lane: 3, Distance: 339, Plate: TOYS4US
Speed: 61, Lane: 1, Distance: 330, Plate: MRB1G
Speed: 67, Lane: 2, Distance: 390, Plate: RU16
Speed: 63, Lane: 3, Distance: 402, Plate: TOYS4US
Speed: 66, Lane: 1, Distance: 396, Plate: MRB1G
Speed: 68, Lane: 2, Distance: 458, Plate: RU16
Speed: 70, Lane: 3, Distance: 472, Plate: TOYS4US
Speed: 73, Lane: 1, Distance: 469, Plate: MRB1G
Speed: 69, Lane: 2, Distance: 527, Plate: RU16
Speed: 73, Lane: 3, Distance: 545, Plate: TOYS4US
Speed: 82, Lane: 1, Distance: 551, Plate: MRB1G
Speed: 72, Lane: 2, Distance: 599, Plate: RU16
Speed: 74, Lane: 3, Distance: 619, Plate: TOYS4US
Speed: 83, Lane: 1, Distance: 634, Plate: MRB1G
Speed: 82, Lane: 2, Distance: 681, Plate: RU16
Speed: 75, Lane: 3, Distance: 694, Plate: TOYS4US
Speed: 91, Lane: 1, Distance: 725, Plate: MRB1G
Speed: 84, Lane: 2, Distance: 765, Plate: RU16
Speed: 82, Lane: 3, Distance: 776, Plate: TOYS4US
Speed: 99, Lane: 1, Distance: 824, Plate: MRB1G
Speed: 91, Lane: 2, Distance: 856, Plate: RU16
Speed: 89, Lane: 3, Distance: 865, Plate: TOYS4US
Speed: 100, Lane: 1, Distance: 924, Plate: MRB1G
Speed: 97, Lane: 2, Distance: 953, Plate: RU16
Speed: 90, Lane: 3, Distance: 955, Plate: TOYS4US
Speed: 106, Lane: 1, Distance: 1030, Plate: MRB1G
Winner: Vehicle in Lane 1
