Vehicles created successfully.
Speed: 8, Lane: 1, Distance: 8, Plate: MRB1G
Speed: 9, Lane: 2, Distance: 9, Plate: RU16
Speed: 2, Lane: 3, Distance: 2, Plate: TOYS4US
Speed: 17, Lane: 1, Distance: 25, Plate: MRB1G
Speed: 16, Lane: 2, Distance: 25, Plate: RU16
Speed: 10, Lane: 3, Distance: 12, Plate: TOYS4US
Speed: 21, Lane: 1, Distance: 46, Plate: MRB1G
Speed: 19, Lane: 2, Distance: 44, Plate: RU16
Speed: 15, Lane: 3, Distance: 27, Plate: TOYS4US
Speed: 25, Lane: 1, Distance: 71, Plate: MRB1G
Speed: 29, Lane: 2, Distance: 73, Plate: RU16
Speed: 17, Lane: 3, Distance: 44, Plate: TOYS4US
Speed: 35, Lane: 1, Distance: 106, Plate: MRB1G
Speed: 36, Lane: 2, Distance: 109, Plate: RU16
Speed: 22, Lane: 3, Distance: 66, Plate: TOYS4US
Speed: 43, Lane: 1, Distance: 149, Plate: MRB1G
Speed: 43, Lane: 2, Distance: 152, Plate: RU16
Speed: 30, Lane: 3, Distance: 96, Plate: TOYS4US
Speed: 49, Lane: 1, Distance: 198, Plate: MRB1G
Speed: 52, Lane: 2, Distance: 204, Plate: RU16
Speed: 34, Lane: 3, Distance: 130, Plate: TOYS4US
Speed: 58, Lane: 1, Distance: 256, Plate: MRB1G
Speed: 59, Lane: 2, Distance: 263, Plate: RU16
Speed: 44, Lane: 3, Distance: 174, Plate: TOYS4US
Speed: 63, Lane: 1, Distance: 319, Plate: MRB1G
Speed: 60, Lane: 2, Distance: 323, Plate: RU16
Speed: 47, Lane: 3, Distance: 221, Plate: TOYS4US
Speed: 64, Lane: 1, Distance: 383, Plate: MRB1G
Speed: 68, Lane: 2, Distance: 391, Plate: RU16
Speed: 53, Lane: 3, Distance: 274, Plate: TOYS4US
Speed: 67, Lane: 1, Distance: 450, Plate: MRB1G
Speed: 74, Lane: 2, Distance: 465, Plate: RU16
Speed: 55, Lane: 3, Distance: 329, Plate: TOYS4US
Speed: 71, Lane: 1, Distance: 521, Plate: MRB1G
Speed: 79, Lane: 2, Distance: 544, Plate: RU16
Speed: 64, Lane: 3, Distance: 393, Plate: TOYS4US
Speed: 75, Lane: 1, Distance: 596, Plate: MRB1G
Speed: 88, Lane: 2, Distance: 632, Plate: RU16
Speed: 73, Lane: 3, Distance: 466, Plate: TOYS4US
Speed: 82, Lane: 1, Distance: 678, Plate: MRB1G
Speed: 97, Lane: 2, Distance: 729, Plate: RU16
Speed: 76, Lane: 3, Distance: 542, Plate: TOYS4US
Speed: 90, Lane: 1, Distance: 768, Plate: MRB1G
Speed: 104, Lane: 2, Distance: 833, Plate: RU16
Speed: 84, Lane: 3, Distance: 626, Plate: TOYS4US
Speed: 97, Lane: 1, Distance: 865, Plate: MRB1G
Speed: 111, Lane: 2, Distance: 944, Plate: RU16
Speed: 87, Lane: 3, Distance: 713, Plate: TOYS4US
Speed: 100, Lane: 1, Distance: 965, Plate: MRB1G
Speed: 112, Lane: 2, Distance: 1056, Plate: RU16
Winner: Vehicle in Lane 2
Vehicles created successfully.
Speed: 4, Lane: 1, Distance: 4, Plate: MRB1G
Speed: 5, Lane: 2, Distance: 5, Plate: RU16
Speed: 4, Lane: 3, Distance: 4, Plate: TOYS4US
Speed: 5, Lane: 1, Distance: 9, Plate: MRB1G
Speed: 9, Lane: 2, Distance: 14, Plate: RU16
Speed: 10, Lane: 3, Distance: 14, Plate: TOYS4US
Speed: 7, Lane: 1, Distance: 16, Plate: MRB1G
Speed: 13, Lane: 2, Distance: 27, Plate: RU16
Speed: 18, Lane: 3, Distance: 32, Plate: TOYS4US
